worker 6/7: k=16106/311738 (0.3% of work, 6s)
worker 3/7: k=15403/311738 (0.2% of work, 6s)
worker 5/7: k=15405/311738 (0.2% of work, 6s)
worker 0/7: k=16100/311738 (0.3% of work, 6s)
worker 2/7: k=16102/311738 (0.3% of work, 6s)
worker 1/7: k=16451/311738 (0.3% of work, 6s)
worker 3/7: k=15753/311738 (0.3% of work, 6s)
worker 4/7: k=16104/311738 (0.3% of work, 6s)
worker 6/7: k=16456/311738 (0.3% of work, 6s)
worker 5/7: k=15755/311738 (0.3% of work, 6s)
worker 0/7: k=16450/311738 (0.3% of work, 6s)
worker 2/7: k=16452/311738 (0.3% of work, 6s)
worker 3/7: k=16103/311738 (0.3% of work, 6s)
worker 1/7: k=16801/311738 (0.3% of work, 7s)
worker 4/7: k=16454/311738 (0.3% of work, 6s)
worker 5/7: k=16105/311738 (0.3% of work, 6s)
worker 6/7: k=16806/311738 (0.3% of work, 6s)
worker 0/7: k=16800/311738 (0.3% of work, 7s)
worker 2/7: k=16802/311738 (0.3% of work, 7s)
worker 6/7: k=17156/311738 (0.3% of work, 7s)
worker 3/7: k=16453/311738 (0.3% of work, 7s)
worker 1/7: k=17151/311738 (0.3% of work, 7s)
worker 5/7: k=16455/311738 (0.3% of work, 7s)
worker 4/7: k=16804/311738 (0.3% of work, 7s)
worker 0/7: k=17150/311738 (0.3% of work, 7s)
worker 2/7: k=17152/311738 (0.3% of work, 7s)
worker 3/7: k=16803/311738 (0.3% of work, 7s)
worker 5/7: k=16805/311738 (0.3% of work, 7s)
worker 4/7: k=17154/311738 (0.3% of work, 7s)
worker 1/7: k=17501/311738 (0.3% of work, 7s)
worker 6/7: k=17506/311738 (0.3% of work, 7s)
worker 0/7: k=17500/311738 (0.3% of work, 7s)
worker 2/7: k=17502/311738 (0.3% of work, 7s)
worker 3/7: k=17153/311738 (0.3% of work, 7s)
worker 5/7: k=17155/311738 (0.3% of work, 7s)
worker 1/7: k=17851/311738 (0.3% of work, 8s)
worker 6/7: k=17856/311738 (0.3% of work, 7s)
worker 4/7: k=17504/311738 (0.3% of work, 7s)
worker 0/7: k=17850/311738 (0.3% of work, 7s)
worker 2/7: k=17852/311738 (0.3% of work, 7s)
worker 3/7: k=17503/311738 (0.3% of work, 7s)
worker 5/7: k=17505/311738 (0.3% of work, 7s)
worker 1/7: k=18201/311738 (0.3% of work, 8s)
worker 4/7: k=17854/311738 (0.3% of work, 8s)
worker 6/7: k=18206/311738 (0.3% of work, 8s)
worker 0/7: k=18200/311738 (0.3% of work, 8s)
worker 5/7: k=17855/311738 (0.3% of work, 8s)
worker 3/7: k=17853/311738 (0.3% of work, 8s)
worker 2/7: k=18202/311738 (0.3% of work, 8s)
worker 1/7: k=18551/311738 (0.4% of work, 8s)
worker 6/7: k=18556/311738 (0.4% of work, 8s)
worker 4/7: k=18204/311738 (0.3% of work, 8s)
worker 0/7: k=18550/311738 (0.4% of work, 8s)
worker 2/7: k=18552/311738 (0.4% of work, 8s)
worker 3/7: k=18203/311738 (0.3% of work, 8s)
worker 5/7: k=18205/311738 (0.3% of work, 8s)
worker 6/7: k=18906/311738 (0.4% of work, 8s)
worker 1/7: k=18901/311738 (0.4% of work, 8s)
worker 4/7: k=18554/311738 (0.4% of work, 8s)
worker 0/7: k=18900/311738 (0.4% of work, 8s)
worker 2/7: k=18902/311738 (0.4% of work, 8s)
worker 3/7: k=18553/311738 (0.4% of work, 8s)
worker 5/7: k=18555/311738 (0.4% of work, 8s)
worker 1/7: k=19251/311738 (0.4% of work, 9s)
worker 6/7: k=19256/311738 (0.4% of work, 9s)
worker 4/7: k=18904/311738 (0.4% of work, 9s)
worker 0/7: k=19250/311738 (0.4% of work, 9s)
worker 2/7: k=19252/311738 (0.4% of work, 9s)
worker 1/7: k=19601/311738 (0.4% of work, 9s)
worker 3/7: k=18903/311738 (0.4% of work, 9s)
worker 5/7: k=18905/311738 (0.4% of work, 9s)
worker 6/7: k=19606/311738 (0.4% of work, 9s)
worker 0/7: k=19600/311738 (0.4% of work, 9s)
worker 4/7: k=19254/311738 (0.4% of work, 9s)
worker 2/7: k=19602/311738 (0.4% of work, 9s)
worker 3/7: k=19253/311738 (0.4% of work, 9s)
worker 5/7: k=19255/311738 (0.4% of work, 9s)
worker 1/7: k=19951/311738 (0.4% of work, 9s)
worker 6/7: k=19956/311738 (0.4% of work, 9s)
worker 0/7: k=19950/311738 (0.4% of work, 9s)
worker 4/7: k=19604/311738 (0.4% of work, 9s)
worker 2/7: k=19952/311738 (0.4% of work, 9s)
worker 1/7: k=20301/311738 (0.4% of work, 10s)
worker 3/7: k=19603/311738 (0.4% of work, 9s)
worker 5/7: k=19605/311738 (0.4% of work, 9s)
worker 6/7: k=20306/311738 (0.4% of work, 10s)
worker 0/7: k=20300/311738 (0.4% of work, 10s)
worker 4/7: k=19954/311738 (0.4% of work, 10s)
worker 2/7: k=20302/311738 (0.4% of work, 10s)
worker 6/7: k=20656/311738 (0.4% of work, 10s)
worker 3/7: k=19953/311738 (0.4% of work, 10s)
worker 5/7: k=19955/311738 (0.4% of work, 10s)
worker 1/7: k=20651/311738 (0.4% of work, 10s)
worker 0/7: k=20650/311738 (0.4% of work, 10s)
worker 4/7: k=20304/311738 (0.4% of work, 10s)
worker 2/7: k=20652/311738 (0.4% of work, 10s)
worker 1/7: k=21001/311738 (0.5% of work, 10s)
worker 3/7: k=20303/311738 (0.4% of work, 10s)
worker 6/7: k=21006/311738 (0.5% of work, 10s)
worker 5/7: k=20305/311738 (0.4% of work, 10s)
worker 0/7: k=21000/311738 (0.5% of work, 10s)
worker 4/7: k=20654/311738 (0.4% of work, 10s)
worker 2/7: k=21002/311738 (0.5% of work, 10s)
worker 3/7: k=20653/311738 (0.4% of work, 10s)
worker 6/7: k=21356/311738 (0.5% of work, 11s)
worker 5/7: k=20655/311738 (0.4% of work, 10s)
worker 1/7: k=21351/311738 (0.5% of work, 11s)
worker 0/7: k=21350/311738 (0.5% of work, 11s)
worker 4/7: k=21004/311738 (0.5% of work, 11s)
worker 2/7: k=21352/311738 (0.5% of work, 11s)
worker 3/7: k=21003/311738 (0.5% of work, 11s)
worker 1/7: k=21701/311738 (0.5% of work, 11s)
worker 6/7: k=21706/311738 (0.5% of work, 11s)
worker 5/7: k=21005/311738 (0.5% of work, 11s)
worker 0/7: k=21700/311738 (0.5% of work, 11s)
worker 4/7: k=21354/311738 (0.5% of work, 11s)
worker 2/7: k=21702/311738 (0.5% of work, 11s)
worker 6/7: k=22056/311738 (0.5% of work, 11s)
worker 3/7: k=21353/311738 (0.5% of work, 11s)
worker 5/7: k=21355/311738 (0.5% of work, 11s)
worker 1/7: k=22051/311738 (0.5% of work, 12s)
worker 0/7: k=22050/311738 (0.5% of work, 11s)
worker 4/7: k=21704/311738 (0.5% of work, 12s)
worker 2/7: k=22052/311738 (0.5% of work, 11s)
worker 6/7: k=22406/311738 (0.5% of work, 12s)
worker 3/7: k=21703/311738 (0.5% of work, 12s)
worker 1/7: k=22401/311738 (0.5% of work, 12s)
worker 5/7: k=21705/311738 (0.5% of work, 11s)
worker 0/7: k=22400/311738 (0.5% of work, 12s)
worker 4/7: k=22054/311738 (0.5% of work, 12s)
worker 2/7: k=22402/311738 (0.5% of work, 12s)
worker 6/7: k=22756/311738 (0.5% of work, 12s)
worker 5/7: k=22055/311738 (0.5% of work, 12s)
worker 3/7: k=22053/311738 (0.5% of work, 12s)
worker 1/7: k=22751/311738 (0.5% of work, 12s)
worker 0/7: k=22750/311738 (0.5% of work, 12s)
worker 4/7: k=22404/311738 (0.5% of work, 12s)
worker 2/7: k=22752/311738 (0.5% of work, 12s)
worker 6/7: k=23106/311738 (0.5% of work, 12s)
worker 1/7: k=23101/311738 (0.5% of work, 13s)
worker 5/7: k=22405/311738 (0.5% of work, 12s)
worker 3/7: k=22403/311738 (0.5% of work, 12s)
worker 0/7: k=23100/311738 (0.5% of work, 13s)
worker 4/7: k=22754/311738 (0.5% of work, 13s)
worker 2/7: k=23102/311738 (0.5% of work, 13s)
worker 6/7: k=23456/311738 (0.6% of work, 13s)
worker 5/7: k=22755/311738 (0.5% of work, 13s)
worker 3/7: k=22753/311738 (0.5% of work, 13s)
worker 1/7: k=23451/311738 (0.6% of work, 13s)
worker 0/7: k=23450/311738 (0.6% of work, 13s)
worker 4/7: k=23104/311738 (0.5% of work, 13s)
worker 2/7: k=23452/311738 (0.6% of work, 13s)
worker 6/7: k=23806/311738 (0.6% of work, 13s)
worker 5/7: k=23105/311738 (0.5% of work, 13s)
worker 1/7: k=23801/311738 (0.6% of work, 13s)
worker 3/7: k=23103/311738 (0.5% of work, 13s)
worker 0/7: k=23800/311738 (0.6% of work, 13s)
worker 4/7: k=23454/311738 (0.6% of work, 14s)
worker 2/7: k=23802/311738 (0.6% of work, 13s)
worker 6/7: k=24156/311738 (0.6% of work, 14s)
worker 5/7: k=23455/311738 (0.6% of work, 13s)
worker 3/7: k=23453/311738 (0.6% of work, 13s)
worker 1/7: k=24151/311738 (0.6% of work, 14s)
worker 0/7: k=24150/311738 (0.6% of work, 14s)
worker 4/7: k=23804/311738 (0.6% of work, 14s)
worker 2/7: k=24152/311738 (0.6% of work, 14s)
worker 6/7: k=24506/311738 (0.6% of work, 14s)
worker 5/7: k=23805/311738 (0.6% of work, 14s)
worker 1/7: k=24501/311738 (0.6% of work, 14s)
worker 3/7: k=23803/311738 (0.6% of work, 14s)
worker 0/7: k=24500/311738 (0.6% of work, 14s)
worker 4/7: k=24154/311738 (0.6% of work, 14s)
worker 2/7: k=24502/311738 (0.6% of work, 14s)
worker 6/7: k=24856/311738 (0.6% of work, 14s)
worker 5/7: k=24155/311738 (0.6% of work, 14s)
worker 3/7: k=24153/311738 (0.6% of work, 14s)
worker 1/7: k=24851/311738 (0.6% of work, 15s)
worker 0/7: k=24850/311738 (0.6% of work, 15s)
worker 4/7: k=24504/311738 (0.6% of work, 15s)
worker 6/7: k=25206/311738 (0.7% of work, 15s)
worker 2/7: k=24852/311738 (0.6% of work, 15s)
worker 5/7: k=24505/311738 (0.6% of work, 15s)
